dataset,method,lambda,accuracy_mean,accuracy_ci_low,accuracy_ci_high,accuracy_std,f1_mean,f1_ci_low,f1_ci_high,f1_std,auc_mean,auc_ci_low,auc_ci_high,auc_std,spd_gap_mean,spd_gap_ci_low,spd_gap_ci_high,spd_gap_std,eod_tpr_gap_mean,eod_tpr_gap_ci_low,eod_tpr_gap_ci_high,eod_tpr_gap_std,n_seeds
acs_ma_2019,baseline,,0.8768020969855832,0.8735255570117956,0.8800786369593709,0.004633727268588128,0.8418952862017202,0.8414133114215283,0.8423772609819121,0.0006816152708691866,0.9492525584795322,0.9481103801169593,0.9503947368421052,0.001615284130999782,0.5833333333333334,0.55,0.6166666666666667,0.04714045207910316,0.4222222222222222,0.4,0.4444444444444444,0.03142696805273541,2
acs_ma_2019,expgrad_demographic_parity,0.1,0.8453473132372216,0.8433813892529489,0.8473132372214941,0.0027802363611528456,0.7965511474495959,0.7965065502183406,0.796595744680851,6.307000928541683e-05,0.8778170687134503,0.8750237573099415,0.880610380116959,0.003950338870773495,0.4057644110275689,0.3904761904761905,0.4210526315789473,0.02162080884831042,0.625,0.6,0.65,0.03535533905932741,2
acs_ma_2019,expgrad_demographic_parity,0.5,0.8381389252948885,0.8296199213630406,0.8466579292267365,0.012047690898329104,0.7886194358102164,0.7796610169491526,0.7975778546712803,0.012669117450735439,0.8607469846491227,0.8484904970760233,0.8730034722222222,0.017333290952934528,0.5833333333333334,0.55,0.6166666666666667,0.04714045207910316,0.75,0.5,1.0,0.3535533905932738,2
acs_ma_2019,expgrad_demographic_parity,1.0,0.84305373525557,0.8342070773263434,0.8519003931847968,0.012511063625187923,0.795846774134878,0.7868576242628476,0.8048359240069085,0.012712577663229873,0.8696897843567252,0.8683570906432749,0.8710224780701754,0.0018847135240506916,0.5320175438596492,0.4473684210526316,0.6166666666666667,0.1197119375166699,0.8324468085106382,0.6648936170212766,1.0,0.23695599582315158,2
acs_ma_2019,expgrad_equalized_odds,0.1,0.8797509829619921,0.8715596330275229,0.8879423328964613,0.011584318171470282,0.8472845166851988,0.839607201309329,0.8549618320610687,0.010857363527170642,0.8837947733918128,0.8821948099415204,0.8853947368421052,0.0022626900107047586,0.5833333333333334,0.55,0.6166666666666667,0.04714045207910316,0.4222222222222222,0.4,0.4444444444444444,0.03142696805273541,2
acs_ma_2019,expgrad_equalized_odds,0.5,0.8745085190039319,0.8702490170380078,0.8787680209698558,0.00602384544916459,0.8399948290078683,0.8377049180327869,0.8422847399829497,0.0032384231575871294,0.8773748172514619,0.8746089181286549,0.880140716374269,0.003911572051629589,0.5833333333333334,0.55,0.6166666666666667,0.04714045207910316,0.3875,0.375,0.4,0.017677669529663705,2
acs_ma_2019,expgrad_equalized_odds,1.0,0.8768020969855832,0.8695937090432503,0.8840104849279161,0.0101941999908939,0.843439223305287,0.8367514356029533,0.8501270110076207,0.009457960070912307,0.880907346491228,0.8802613304093568,0.8815533625730994,0.0009136047044934623,0.5833333333333334,0.55,0.6166666666666667,0.04714045207910316,0.4222222222222222,0.4,0.4444444444444444,0.03142696805273541,2
acs_ma_2019,threshold_demographic_parity,,0.6225425950196593,0.6225425950196593,0.6225425950196593,0.0,0.0,0.0,0.0,0.0,0.9492525584795322,0.9481103801169593,0.9503947368421052,0.001615284130999782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
acs_ma_2019,threshold_equalized_odds,,0.6225425950196593,0.6225425950196593,0.6225425950196593,0.0,0.0,0.0,0.0,0.0,0.9492525584795322,0.9481103801169593,0.9503947368421052,0.001615284130999782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
